name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Kerry Parker,0626 Fisher Ports,North Jennifer,38609,8583007445,Passenger transport manager,10,96.89,0,1,Urban,1,Phone,Buy One Get One,1.6533081111564851
Kelly Williams,784 Robertson Trafficway,Alisonfort,34814,(433)174-1884,"Engineer, materials",7,110.4,0,1,Surburban,0,Phone,Discount,0.4228869667352836
Charlene Hurst,24301 Robinson Squares Suite 958,Marilynburgh,11459,+1-150-794-6322x3791,Graphic designer,3,141.78,0,1,Rural,0,Web,No Offer,2.32885861312318
Allison Saunders,0259 Wagner Ways Suite 487,South Tiffanyview,65266,1602796822,Social worker,3,114.71,1,0,Urban,0,Phone,Discount,1.3101465096605824
Shelley Bush,08336 Adams Curve,West Annamouth,73634,870.386.6968,Illustrator,8,279.12,0,1,Surburban,0,Web,Discount,2.0115046214393155
Dorothy Taylor,96174 Barton Passage Suite 719,East Ashley,99748,4448033055,"Investment banker, corporate",9,82.12,1,0,Urban,0,Phone,Discount,2.2787922581912734
David Jordan,650 Curry Loop,Wellsshire,68129,001-308-909-4860x06679,Psychotherapist,11,79.95,0,1,Surburban,1,Phone,No Offer,1.0737131286237085
Mark Garcia,7952 Dustin Causeway Suite 068,Julieside,34378,7140575687,Animator,4,470.5,0,1,Urban,0,Web,Discount,1.4087490967856435
Frederick Barry,45613 Ashley River Suite 806,Port Sarah,25672,488.398.2001x22136,"Psychologist, counselling",1,218.32,0,1,Surburban,1,Phone,No Offer,1.4249403407518122
Paul Lawson,6334 Joseph View,East Johnville,82159,779.086.1806x19972,Health physicist,11,29.99,1,0,Urban,1,Web,No Offer,0.8710902334924524
Manuel Kim,579 Charles Ports Suite 892,Brandtshire,32709,8433272910,Acupuncturist,5,29.99,0,1,Urban,0,Web,Discount,1.0271154002564586
Jacob Ball,6981 Ayala Mountain,Tammyhaven,887,+1-119-170-6539x84091,"Engineer, maintenance (IT)",9,136.09,1,0,Surburban,0,Phone,Discount,2.160424429212291
Tina White,193 Mcgee Mall,Brandonview,85612,699.749.6976x45385,Production manager,5,125.53,1,0,Urban,0,Web,Discount,1.0197083097156712
Anne Dennis,252 Shawn Garden,Huntbury,95804,9083366220,Patent attorney,7,305.15,1,0,Rural,0,Web,Discount,2.1385522617989072
Brian Vincent,14360 Randall Springs Apt. 628,Smithberg,16725,(314)080-7542,Office manager,3,121.38,1,0,Urban,1,Web,Buy One Get One,0.7025413974845502
Rachel Thompson,83032 Jennifer Pike,Kathleenton,38540,547.061.6196x79640,Comptroller,6,96.54,0,1,Urban,1,Web,No Offer,0.6006508849589411
Melanie Fleming,802 Daniel Glens Suite 886,Foxland,11817,671.507.0119,"Production designer, theatre/television/film",8,945.47,1,0,Surburban,1,Web,Buy One Get One,0.4869348657110121
Karen Scott,0055 Garcia Mountains,Victoriamouth,6207,001-637-663-4372x02008,Horticultural consultant,2,229.85,1,1,Urban,1,Web,No Offer,0.4408185057127292
